customer_id|first_name|last_name|email|phone|city|country|last_modified_at
100001|First1|Last1|customer1@example.com|9000000001|City1|UK|2026-06-01T00:01:00Z
100002|First2|Last2|customer2@example.com|9000000002|City2|UK|2026-06-01T00:02:00Z
100003|First3|Last3|customer3@example.com|9000000003|City3|UK|2026-06-01T00:03:00Z
100004|First4|Last4|customer4@example.com|9000000004|City4|UK|2026-06-01T00:04:00Z
100005|First5|Last5|customer5@example.com|9000000005|City5|UK|2026-06-01T00:05:00Z
100006|First6|Last6|customer6@example.com|9000000006|City6|UK|2026-06-01T00:06:00Z
100007|First7|Last7|customer7@example.com|9000000007|City7|UK|2026-06-01T00:07:00Z
100008|First8|Last8|customer8@example.com|9000000008|City8|UK|2026-06-01T00:08:00Z
100009|First9|Last9|customer9@example.com|9000000009|City9|UK|2026-06-01T00:09:00Z
100010|First10|Last10|customer10@example.com|9000000010|City10|UK|2026-06-01T00:10:00Z
100011|First11|Last11|customer11@example.com|9000000011|City11|UK|2026-06-01T00:11:00Z
100012|First12|Last12|customer12@example.com|9000000012|City12|UK|2026-06-01T00:12:00Z
100013|First13|Last13|customer13@example.com|9000000013|City13|UK|2026-06-01T00:13:00Z
100014|First14|Last14|customer14@example.com|9000000014|City14|UK|2026-06-01T00:14:00Z
100015|First15|Last15|customer15@example.com|9000000015|City15|UK|2026-06-01T00:15:00Z
100016|First16|Last16|customer16@example.com|9000000016|City16|UK|2026-06-01T00:16:00Z
100017|First17|Last17|customer17@example.com|9000000017|City17|UK|2026-06-01T00:17:00Z
100018|First18|Last18|customer18@example.com|9000000018|City18|UK|2026-06-01T00:18:00Z
100019|First19|Last19|customer19@example.com|9000000019|City19|UK|2026-06-01T00:19:00Z
100020|First20|Last20|customer20@example.com|9000000020|City20|UK|2026-06-01T00:20:00Z
100021|First21|Last21|customer21@example.com|9000000021|City21|UK|2026-06-01T00:21:00Z
100022|First22|Last22|customer22@example.com|9000000022|City22|UK|2026-06-01T00:22:00Z
100023|First23|Last23|customer23@example.com|9000000023|City23|UK|2026-06-01T00:23:00Z
100024|First24|Last24|customer24@example.com|9000000024|City24|UK|2026-06-01T00:24:00Z
100025|First25|Last25|customer25@example.com|9000000025|City0|UK|2026-06-01T00:25:00Z
100026|First26|Last26|customer26@example.com|9000000026|City1|UK|2026-06-01T00:26:00Z
100027|First27|Last27|customer27@example.com|9000000027|City2|UK|2026-06-01T00:27:00Z
100028|First28|Last28|customer28@example.com|9000000028|City3|UK|2026-06-01T00:28:00Z
100029|First29|Last29|customer29@example.com|9000000029|City4|UK|2026-06-01T00:29:00Z
100030|First30|Last30|customer30@example.com|9000000030|City5|UK|2026-06-01T00:30:00Z
100031|First31|Last31|customer31@example.com|9000000031|City6|UK|2026-06-01T00:31:00Z
100032|First32|Last32|customer32@example.com|9000000032|City7|UK|2026-06-01T00:32:00Z
100033|First33|Last33|customer33@example.com|9000000033|City8|UK|2026-06-01T00:33:00Z
100034|First34|Last34|customer34@example.com|9000000034|City9|UK|2026-06-01T00:34:00Z
100035|First35|Last35|customer35@example.com|9000000035|City10|UK|2026-06-01T00:35:00Z
100036|First36|Last36|customer36@example.com|9000000036|City11|UK|2026-06-01T00:36:00Z
100037|First37|Last37|customer37@example.com|9000000037|City12|UK|2026-06-01T00:37:00Z
100038|First38|Last38|customer38@example.com|9000000038|City13|UK|2026-06-01T00:38:00Z
100039|First39|Last39|customer39@example.com|9000000039|City14|UK|2026-06-01T00:39:00Z
100040|First40|Last40|customer40@example.com|9000000040|City15|UK|2026-06-01T00:40:00Z
100041|First41|Last41|customer41@example.com|9000000041|City16|UK|2026-06-01T00:41:00Z
100042|First42|Last42|customer42@example.com|9000000042|City17|UK|2026-06-01T00:42:00Z
100043|First43|Last43|customer43@example.com|9000000043|City18|UK|2026-06-01T00:43:00Z
100044|First44|Last44|customer44@example.com|9000000044|City19|UK|2026-06-01T00:44:00Z
100045|First45|Last45|customer45@example.com|9000000045|City20|UK|2026-06-01T00:45:00Z
100046|First46|Last46|customer46@example.com|9000000046|City21|UK|2026-06-01T00:46:00Z
100047|First47|Last47|customer47@example.com|9000000047|City22|UK|2026-06-01T00:47:00Z
100048|First48|Last48|customer48@example.com|9000000048|City23|UK|2026-06-01T00:48:00Z
100049|First49|Last49|customer49@example.com|9000000049|City24|UK|2026-06-01T00:49:00Z
100050|First50|Last50|customer50@example.com|9000000050|City0|UK|2026-06-01T00:50:00Z
100051|First51|Last51|customer51@example.com|9000000051|City1|UK|2026-06-01T00:51:00Z
100052|First52|Last52|customer52@example.com|9000000052|City2|UK|2026-06-01T00:52:00Z
100053|First53|Last53|customer53@example.com|9000000053|City3|UK|2026-06-01T00:53:00Z
100054|First54|Last54|customer54@example.com|9000000054|City4|UK|2026-06-01T00:54:00Z
100055|First55|Last55|customer55@example.com|9000000055|City5|UK|2026-06-01T00:55:00Z
100056|First56|Last56|customer56@example.com|9000000056|City6|UK|2026-06-01T00:56:00Z
100057|First57|Last57|customer57@example.com|9000000057|City7|UK|2026-06-01T00:57:00Z
100058|First58|Last58|customer58@example.com|9000000058|City8|UK|2026-06-01T00:58:00Z
100059|First59|Last59|customer59@example.com|9000000059|City9|UK|2026-06-01T00:59:00Z
100060|First60|Last60|customer60@example.com|9000000060|City10|UK|2026-06-01T01:00:00Z
100061|First61|Last61|customer61@example.com|9000000061|City11|UK|2026-06-01T01:01:00Z
100062|First62|Last62|customer62@example.com|9000000062|City12|UK|2026-06-01T01:02:00Z
100063|First63|Last63|customer63@example.com|9000000063|City13|UK|2026-06-01T01:03:00Z
100064|First64|Last64|customer64@example.com|9000000064|City14|UK|2026-06-01T01:04:00Z
100065|First65|Last65|customer65@example.com|9000000065|City15|UK|2026-06-01T01:05:00Z
100066|First66|Last66|customer66@example.com|9000000066|City16|UK|2026-06-01T01:06:00Z
100067|First67|Last67|customer67@example.com|9000000067|City17|UK|2026-06-01T01:07:00Z
100068|First68|Last68|customer68@example.com|9000000068|City18|UK|2026-06-01T01:08:00Z
100069|First69|Last69|customer69@example.com|9000000069|City19|UK|2026-06-01T01:09:00Z
100070|First70|Last70|customer70@example.com|9000000070|City20|UK|2026-06-01T01:10:00Z
100071|First71|Last71|customer71@example.com|9000000071|City21|UK|2026-06-01T01:11:00Z
100072|First72|Last72|customer72@example.com|9000000072|City22|UK|2026-06-01T01:12:00Z
100073|First73|Last73|customer73@example.com|9000000073|City23|UK|2026-06-01T01:13:00Z
100074|First74|Last74|customer74@example.com|9000000074|City24|UK|2026-06-01T01:14:00Z
100075|First75|Last75|customer75@example.com|9000000075|City0|UK|2026-06-01T01:15:00Z
100076|First76|Last76|customer76@example.com|9000000076|City1|UK|2026-06-01T01:16:00Z
100077|First77|Last77|customer77@example.com|9000000077|City2|UK|2026-06-01T01:17:00Z
100078|First78|Last78|customer78@example.com|9000000078|City3|UK|2026-06-01T01:18:00Z
100079|First79|Last79|customer79@example.com|9000000079|City4|UK|2026-06-01T01:19:00Z
100080|First80|Last80|customer80@example.com|9000000080|City5|UK|2026-06-01T01:20:00Z
100081|First81|Last81|customer81@example.com|9000000081|City6|UK|2026-06-01T01:21:00Z
100082|First82|Last82|customer82@example.com|9000000082|City7|UK|2026-06-01T01:22:00Z
100083|First83|Last83|customer83@example.com|9000000083|City8|UK|2026-06-01T01:23:00Z
100084|First84|Last84|customer84@example.com|9000000084|City9|UK|2026-06-01T01:24:00Z
100085|First85|Last85|customer85@example.com|9000000085|City10|UK|2026-06-01T01:25:00Z
100086|First86|Last86|customer86@example.com|9000000086|City11|UK|2026-06-01T01:26:00Z
100087|First87|Last87|customer87@example.com|9000000087|City12|UK|2026-06-01T01:27:00Z
100088|First88|Last88|customer88@example.com|9000000088|City13|UK|2026-06-01T01:28:00Z
100089|First89|Last89|customer89@example.com|9000000089|City14|UK|2026-06-01T01:29:00Z
100090|First90|Last90|customer90@example.com|9000000090|City15|UK|2026-06-01T01:30:00Z
